                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4395,                 3.0878,                 1.2896,                0.00326,                0.97701,                0.42058,                0.20792,                 1.2865,                 3.8368,                 1.1266,                0.00042,                0.00042,                0.00042
                      2,                 1.4604,                 2.1236,                 1.2447,                0.00295,                0.88506,                0.14037,                 0.0775,                  1.378,                 4.1071,                   1.25,             0.00085149,             0.00085149,             0.00085149
                      3,                  1.429,                  1.909,                 1.2434,                0.67965,                0.34146,                0.53756,                0.24997,                 1.4724,                 3.5191,                 1.2949,              0.0012743,              0.0012743,              0.0012743
                      4,                 1.4474,                 1.8017,                 1.2813,                0.79141,                0.54023,                0.57152,                0.30056,                 1.6428,                 2.8543,                 1.3461,              0.0016883,              0.0016883,              0.0016883
                      5,                 1.4901,                 1.6971,                 1.3095,                0.74671,                0.51724,                0.58002,                0.30185,                 1.6866,                 2.3815,                 1.4553,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.5788,                 1.6564,                   1.33,                0.04328,                0.55172,                0.06225,                0.03183,                  1.774,                 8.4196,                 1.6014,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.4723,                 1.4439,                 1.2647,                0.59559,                0.66023,                0.57991,                0.32834,                 1.6007,                 2.1139,                 1.4286,               0.001901,               0.001901,               0.001901
                      8,                 1.5101,                 1.3878,                 1.2826,                0.68025,                0.71264,                0.69947,                0.35018,                 1.6115,                 1.7181,                  1.339,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.4744,                 1.2478,                  1.312,                0.78529,                0.73563,                0.76062,                0.39884,                 1.5539,                 2.2778,                  1.381,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.4656,                 1.2574,                   1.31,                0.77352,                0.73563,                0.79105,                0.42307,                 1.5015,                 2.9902,                  1.332,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.4032,                 1.1469,                 1.2643,                0.75188,                0.83595,                0.82229,                0.45854,                  1.522,                 1.5143,                 1.3213,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.4136,                 1.1025,                 1.2618,                0.73157,                0.62657,                0.73375,                0.40588,                 1.5037,                 2.4273,                 1.3853,               0.001802,               0.001802,               0.001802
                     13,                 1.4511,                 1.1294,                 1.3147,                0.92355,                0.68966,                0.84831,                0.47505,                 1.4665,                 1.1612,                 1.3098,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.4155,                 1.0899,                 1.2563,                0.80004,                0.85057,                0.88579,                0.53177,                 1.3655,                 1.0228,                 1.2501,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.3884,                 1.0339,                 1.2583,                0.84544,                0.82759,                 0.8742,                0.48209,                 1.5325,                 1.0678,                 1.3439,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.3719,                 1.0353,                 1.2417,                0.84284,                0.77011,                0.87737,                0.52291,                 1.4213,                 1.0844,                 1.2749,              0.0017228,              0.0017228,              0.0017228
                     17,                  1.409,                0.99419,                 1.2535,                0.77923,                0.81142,                0.85273,                0.47569,                 1.4399,                  1.049,                 1.2983,               0.001703,               0.001703,               0.001703
                     18,                 1.3523,                0.96959,                  1.212,                0.86157,                0.78694,                0.89058,                0.51549,                 1.4247,                 1.0974,                 1.2751,              0.0016832,              0.0016832,              0.0016832
                     19,                   1.35,                0.93258,                 1.2302,                 0.8539,                0.87356,                 0.8783,                0.50605,                 1.4988,                 0.9494,                 1.3347,              0.0016634,              0.0016634,              0.0016634
